step;id;q_stock;q_consumed;q_wasted
0;1;5;0;0
0;2;10;0;0
0;3;0;0;0
0;4;0;0;0
0;5;0;0;0
0;6;0;0;0
0;7;0;0;0
1;1;9;0;0
1;2;19;0;0
1;3;0;0;0
1;4;0;0;0
1;5;0;0;0
1;6;0;0;0
1;7;0;0;0
2;1;12;0;0
2;2;24;0;0
2;3;0;0;0
2;4;0;0;0
2;5;5;0;0
2;6;10;0;0
2;7;0;0;0
3;1;21;0;0
3;2;33;0;0
3;3;0;0;0
3;4;0;0;0
3;5;6;0;0
3;6;19;0;0
3;7;0;0;0
4;1;33;0;0
4;2;55;0;0
4;3;0;0;0
4;4;0;0;0
4;5;10;0;0
4;6;19;0;0
4;7;0;0;0
5;1;49;0;0
5;2;75;0;0
5;3;0;0;0
5;4;0;0;0
5;5;16;0;0
5;6;23;0;0
5;7;0;0;0
6;1;68;0;0
6;2;93;0;0
6;3;0;0;0
6;4;0;0;0
6;5;21;0;0
6;6;23;0;0
6;7;0;0;0
7;1;89;0;0
7;2;97;0;0
7;3;0;0;0
7;4;0;0;0
7;5;21;0;0
7;6;25;0;0
7;7;0;0;0
8;1;93;0;0
8;2;99;0;0
8;3;0;0;0
8;4;0;0;0
8;5;26;0;0
8;6;25;0;0
8;7;0;0;0
9;1;98;0;0
9;2;99;0;0
9;3;0;0;0
9;4;0;0;0
9;5;27;0;0
9;6;25;0;0
9;7;0;0;0
10;1;99;0;0
10;2;99;0;0
10;3;0;0;0
10;4;0;0;0
10;5;27;0;0
10;6;25;0;0
10;7;0;0;0
11;1;92;0;0
11;2;91;0;0
11;3;0;0;0
11;4;0;0;0
11;5;34;0;0
11;6;33;0;0
11;7;0;0;0
12;1;99;0;0
12;2;91;0;0
12;3;0;0;0
12;4;0;0;0
12;5;34;0;0
12;6;41;0;0
12;7;0;0;0
13;1;99;0;0
13;2;91;0;0
13;3;0;0;0
13;4;0;0;0
13;5;34;0;0
13;6;49;0;0
13;7;0;0;0
14;1;99;0;0
14;2;91;0;0
14;3;0;0;0
14;4;0;0;0
14;5;34;0;0
14;6;57;0;0
14;7;0;0;0
15;1;92;0;0
15;2;91;0;0
15;3;0;0;0
15;4;0;0;0
15;5;41;0;0
15;6;65;0;0
15;7;0;0;0
16;1;92;0;0
16;2;91;0;0
16;3;0;0;0
16;4;0;0;0
16;5;48;0;0
16;6;73;0;0
16;7;0;0;0
17;1;92;0;0
17;2;91;0;0
17;3;0;0;0
17;4;0;0;0
17;5;55;0;0
17;6;71;0;0
17;7;0;0;0
18;1;92;0;0
18;2;91;0;0
18;3;0;0;10
18;4;0;0;0
18;5;62;0;0
18;6;70;0;9
18;7;0;0;0
19;1;92;0;0
19;2;91;0;0
19;3;0;0;10
19;4;0;0;0
19;5;69;0;0
19;6;78;0;9
19;7;0;0;0
20;1;92;0;0
20;2;91;0;0
20;3;0;0;10
20;4;0;0;0
20;5;76;0;0
20;6;82;0;13
20;7;0;0;0
21;1;92;0;0
21;2;91;0;0
21;3;0;0;10
21;4;0;0;0
21;5;78;0;0
21;6;88;0;15
21;7;0;0;0
22;1;92;0;0
22;2;91;0;0
22;3;0;0;10
22;4;0;0;0
22;5;84;0;0
22;6;96;0;15
22;7;5;0;0
23;1;92;0;0
23;2;91;0;0
23;3;0;0;10
23;4;0;0;0
23;5;87;0;0
23;6;104;0;15
23;7;6;0;0
24;1;92;0;0
24;2;91;0;0
24;3;0;0;10
24;4;0;0;0
24;5;88;0;0
24;6;112;0;15
24;7;10;0;0
25;1;92;0;0
25;2;91;0;0
25;3;0;0;10
25;4;0;0;0
25;5;90;0;0
25;6;114;0;21
25;7;16;0;0
26;1;92;0;0
26;2;91;0;0
26;3;0;0;10
26;4;0;0;0
26;5;97;0;0
26;6;120;0;23
26;7;21;0;0
27;1;92;0;0
27;2;91;0;0
27;3;0;0;10
27;4;0;0;0
27;5;99;0;0
27;6;120;0;23
27;7;16;0;0
28;1;92;0;0
28;2;91;0;0
28;3;8;0;10
28;4;5;0;0
28;5;105;0;0
